Date,Action,Symbol,Description,Quantity,Price,fees_and_comm,Amount,
09/13/2021 as of 09/10/2021,Sell,PTON,PELOTON INTERACTIVE INC,300,110,0.17,32999.83,
9/7/21,Journal,AFRM,AFFIRM HLDGS INC,-73,,,,
9/7/21,Journal,AFRM,AFFIRM HLDGS INC,73,,,,
9/3/21,Stock Plan Activity,AFRM,AFFIRM HLDGS INC,73,,,,
9/2/21,Buy to Close,PTON 09/03/2021 113.00 C,CALL PELOTON INTERACTIVE$113 EXP 09/03/21,1,0.05,0.65,-5.65,
9/2/21,Sell to Open,PTON 09/10/2021 110.00 C,CALL PELOTON INTERACTIVE$110 EXP 09/10/21,1,0.42,0.65,41.35,
9/2/21,Buy to Close,PTON 09/03/2021 113.00 C,CALL PELOTON INTERACTIVE$113 EXP 09/03/21,1,0.06,0.65,-6.65,
9/2/21,Sell to Open,PTON 09/10/2021 110.00 C,CALL PELOTON INTERACTIVE$110 EXP 09/10/21,1,0.43,0.65,42.35,
9/2/21,Buy to Close,PTON 09/03/2021 113.00 C,CALL PELOTON INTERACTIVE$113 EXP 09/03/21,1,0.06,0.65,-6.65,
9/2/21,Sell to Open,PTON 09/10/2021 110.00 C,CALL PELOTON INTERACTIVE$110 EXP 09/10/21,1,0.43,0.65,42.35,
9/2/21,Sell to Open,ABT 09/10/2021 129.00 C,CALL ABBOTT LABORATORIES$129 EXP 09/10/21,2,0.75,1.31,148.69,
9/2/21,Buy to Close,ABT 09/03/2021 126.00 C,CALL ABBOTT LABORATORIES$126 EXP 09/03/21,2,2.33,1.31,-467.31,
9/2/21,Buy to Close,RBLX 09/03/2021 87.00 C,CALL ROBLOX CORP $87 EXP 09/03/21,1,0.41,0.65,-41.65,
9/2/21,Sell to Open,RBLX 09/10/2021 88.00 C,CALL ROBLOX CORP $88 EXP 09/10/21,1,1.34,0.65,133.35,
8/30/21,Margin Interest,,INTEREST 07/29THRU 08/29,,,,-0.43,
8/27/21,Buy,INMD,INMODE LTD F,200,129.57,,-25913.96,
8/27/21,Sell to Open,INMD 09/17/2021 140.00 C,CALL INMODE LTD $140 EXP 09/17/21,2,2.09,1.31,416.69,
8/27/21,Sell to Open,ABT 09/03/2021 126.00 C,CALL ABBOTT LABORATORIES$126 EXP 09/03/21,2,0.55,1.31,108.69,
8/27/21,Buy to Close,ABT 08/27/2021 127.00 C,CALL ABBOTT LABORATORIES$127 EXP 08/27/21,2,0.02,0.01,-4.01,
8/27/21,Buy to Close,RBLX 08/27/2021 85.00 C,CALL ROBLOX CORP $85 EXP 08/27/21,1,0.61,0.65,-61.65,
8/27/21,Sell to Open,RBLX 09/03/2021 87.00 C,CALL ROBLOX CORP $87 EXP 09/03/21,1,1.55,0.65,154.35,
8/27/21,Buy to Close,PTON 08/27/2021 114.00 C,CALL PELOTON INTERACTIVE$114 EXP 08/27/21,3,0.02,0.04,-6.04,
8/27/21,Sell to Open,PTON 09/03/2021 113.00 C,CALL PELOTON INTERACTIVE$113 EXP 09/03/21,3,1.15,1.99,343.01,
8/20/21,Sell to Open,PTON 08/27/2021 114.00 C,CALL PELOTON INTERACTIVE$114 EXP 08/27/21,2,2.91,1.31,580.69,
8/20/21,Buy to Close,PTON 08/20/2021 117.00 C,CALL PELOTON INTERACTIVE$117 EXP 08/20/21,2,0.01,0.01,-2.01,
8/20/21,Sell to Open,PTON 08/27/2021 114.00 C,CALL PELOTON INTERACTIVE$114 EXP 08/27/21,1,2.92,0.65,291.35,
8/20/21,Buy to Close,PTON 08/20/2021 117.00 C,CALL PELOTON INTERACTIVE$117 EXP 08/20/21,1,0.02,,-2,
8/20/21,Buy to Close,BCRX 08/20/2021 18.00 C,CALL BIOCRYST PHARMACEUT$18 EXP 08/20/21,25,0.03,0.29,-75.29,
8/20/21,Sell to Open,BCRX 09/17/2021 17.00 C,CALL BIOCRYST PHARMACEUT$17 EXP 09/17/21,25,0.32,16.54,783.46,
8/20/21,Buy to Close,RBLX 08/20/2021 85.00 C,CALL ROBLOX CORP $85 EXP 08/20/21,1,0.02,,-2,
8/20/21,Sell to Open,RBLX 08/27/2021 85.00 C,CALL ROBLOX CORP $85 EXP 08/27/21,1,1.61,0.65,160.35,
8/20/21,Sell to Close,RH 08/20/2021 480.00 C,CALL RH $480 EXP 08/20/21,1,210,0.76,20999.24,
8/20/21,Sell to Open,ABT 08/27/2021 127.00 C,CALL ABBOTT LABORATORIES$127 EXP 08/27/21,1,0.99,0.65,98.35,
8/20/21,Buy to Close,ABT 08/20/2021 122.00 C,CALL ABBOTT LABORATORIES$122 EXP 08/20/21,1,4.66,0.65,-466.65,
8/20/21,Sell to Open,ABT 08/27/2021 127.00 C,CALL ABBOTT LABORATORIES$127 EXP 08/27/21,1,0.99,0.65,98.35,
8/20/21,Buy to Close,ABT 08/20/2021 122.00 C,CALL ABBOTT LABORATORIES$122 EXP 08/20/21,1,4.66,0.65,-466.65,
8/16/21,Qualified Dividend,ABT,ABBOTT LABORATORIES,,,,90,
8/13/21,Buy to Close,PTON 08/13/2021 120.00 C,CALL PELOTON INTERACTIVE$120 EXP 08/13/21,1,0.02,,-2,
8/13/21,Sell to Open,PTON 08/20/2021 117.00 C,CALL PELOTON INTERACTIVE$117 EXP 08/20/21,1,1.02,0.65,101.35,
8/13/21,Buy to Close,PTON 08/13/2021 120.00 C,CALL PELOTON INTERACTIVE$120 EXP 08/13/21,1,0.02,,-2,
8/13/21,Sell to Open,PTON 08/20/2021 117.00 C,CALL PELOTON INTERACTIVE$117 EXP 08/20/21,1,1.02,0.65,101.35,
8/13/21,Buy to Close,PTON 08/13/2021 120.00 C,CALL PELOTON INTERACTIVE$120 EXP 08/13/21,1,0.01,,-1,
8/13/21,Sell to Open,PTON 08/20/2021 117.00 C,CALL PELOTON INTERACTIVE$117 EXP 08/20/21,1,1.01,0.65,100.35,
8/13/21,Buy to Close,RBLX 08/13/2021 80.00 C,CALL ROBLOX CORP $80 EXP 08/13/21,1,3.42,0.65,-342.65,
8/13/21,Sell to Open,RBLX 08/20/2021 85.00 C,CALL ROBLOX CORP $85 EXP 08/20/21,1,4.22,0.65,421.35,
8/13/21,Sell to Open,ABT 08/20/2021 122.00 C,CALL ABBOTT LABORATORIES$122 EXP 08/20/21,2,1.39,1.31,276.69,
8/13/21,Buy to Close,ABT 08/13/2021 123.00 C,CALL ABBOTT LABORATORIES$123 EXP 08/13/21,2,0.08,1.31,-17.31,
8/6/21,Sell to Open,RBLX 08/13/2021 80.00 C,CALL ROBLOX CORP $80 EXP 08/13/21,1,1.35,0.65,134.35,
8/6/21,Buy to Close,RBLX 08/06/2021 80.00 C,CALL ROBLOX CORP $80 EXP 08/06/21,1,0.02,,-2,
8/6/21,Sell to Open,PTON 08/13/2021 120.00 C,CALL PELOTON INTERACTIVE$120 EXP 08/13/21,3,1.01,1.99,301.01,
8/6/21,Buy to Close,PTON 08/06/2021 122.00 C,CALL PELOTON INTERACTIVE$122 EXP 08/06/21,3,0.01,0.04,-3.04,
8/6/21,Sell to Open,ABT 08/13/2021 123.00 C,CALL ABBOTT LABORATORIES$123 EXP 08/13/21,1,0.56,0.65,55.35,
8/6/21,Buy to Close,ABT 08/06/2021 122.00 C,CALL ABBOTT LABORATORIES$122 EXP 08/06/21,1,0.07,0.65,-7.65,
8/6/21,Sell to Open,ABT 08/13/2021 123.00 C,CALL ABBOTT LABORATORIES$123 EXP 08/13/21,1,0.56,0.65,55.35,
8/6/21,Buy to Close,ABT 08/06/2021 122.00 C,CALL ABBOTT LABORATORIES$122 EXP 08/06/21,1,0.06,0.65,-6.65,
8/4/21,Journal,AFRM,AFFIRM HLDGS INC,-822,,,,
8/4/21,Journal,AFRM,AFFIRM HLDGS INC,822,,,,
8/3/21,Stock Plan Activity,AFRM,AFFIRM HLDGS INC,822,,,,
7/30/21,Sell to Open,ABT 08/06/2021 122.00 C,CALL ABBOTT LABORATORIES$122 EXP 08/06/21,2,0.65,1.31,128.69,
7/30/21,Buy to Close,ABT 07/30/2021 121.00 C,CALL ABBOTT LABORATORIES$121 EXP 07/30/21,2,0.05,0.01,-10.01,
7/30/21,Sell to Open,PTON 08/06/2021 122.00 C,CALL PELOTON INTERACTIVE$122 EXP 08/06/21,3,1.84,1.99,550.01,
7/30/21,Buy to Close,PTON 07/30/2021 124.00 C,CALL PELOTON INTERACTIVE$124 EXP 07/30/21,3,0.02,0.04,-6.04,
7/30/21,Sell to Open,RBLX 08/06/2021 80.00 C,CALL ROBLOX CORP $80 EXP 08/06/21,1,0.96,0.65,95.35,
7/30/21,Buy to Close,RBLX 07/30/2021 84.00 C,CALL ROBLOX CORP $84 EXP 07/30/21,1,0.01,,-1,
7/29/21,Margin Interest,,INTEREST 06/29THRU 07/28,,,,-27.69,
7/23/21,Buy to Close,RBLX 07/23/2021 80.00 C,CALL ROBLOX CORP $80 EXP 07/23/21,1,2.22,0.65,-222.65,
7/23/21,Sell to Open,RBLX 07/30/2021 84.00 C,CALL ROBLOX CORP $84 EXP 07/30/21,1,1.37,0.65,136.35,
7/23/21,Sell to Open,ABT 07/30/2021 121.00 C,CALL ABBOTT LABORATORIES$121 EXP 07/30/21,2,1.15,1.33,228.67,
7/23/21,Buy to Close,ABT 07/23/2021 119.00 C,CALL ABBOTT LABORATORIES$119 EXP 07/23/21,2,1.86,1.33,-373.33,
7/23/21,Sell to Open,PTON 07/30/2021 124.00 C,CALL PELOTON INTERACTIVE$124 EXP 07/30/21,1,2.18,0.65,217.35,
7/23/21,Buy to Close,PTON 07/23/2021 126.00 C,CALL PELOTON INTERACTIVE$126 EXP 07/23/21,1,0.02,,-2,
7/23/21,Sell to Open,PTON 07/30/2021 124.00 C,CALL PELOTON INTERACTIVE$124 EXP 07/30/21,1,2.19,0.65,218.35,
7/23/21,Buy to Close,PTON 07/23/2021 126.00 C,CALL PELOTON INTERACTIVE$126 EXP 07/23/21,1,0.03,,-3,
7/23/21,Buy to Close,PTON 07/23/2021 126.00 C,CALL PELOTON INTERACTIVE$126 EXP 07/23/21,1,0.03,,-3,
7/23/21,Sell to Open,PTON 07/30/2021 124.00 C,CALL PELOTON INTERACTIVE$124 EXP 07/30/21,1,2.19,0.65,218.35,
7/21/21,Sell to Open,PTON 07/23/2021 126.00 C,CALL PELOTON INTERACTIVE$126 EXP 07/23/21,3,1.91,1.99,571.01,
7/16/21,Buy to Close,BCRX 07/16/2021 18.00 C,CALL BIOCRYST PHARMACEUT$18 EXP 07/16/21,25,0.03,0.33,-75.33,
7/16/21,Sell to Open,BCRX 08/20/2021 18.00 C,CALL BIOCRYST PHARMACEUT$18 EXP 08/20/21,25,0.77,16.59,1908.41,
7/16/21,Buy to Close,RBLX 07/16/2021 86.00 C,CALL ROBLOX CORP $86 EXP 07/16/21,1,0.01,,-1,
7/16/21,Sell to Open,RBLX 07/23/2021 80.00 C,CALL ROBLOX CORP $80 EXP 07/23/21,1,1.27,0.65,126.35,
7/16/21,Sell to Open,ABT 07/23/2021 119.00 C,CALL ABBOTT LABORATORIES$119 EXP 07/23/21,2,1.12,1.33,222.67,
7/16/21,Buy to Close,ABT 07/16/2021 120.00 C,CALL ABBOTT LABORATORIES$120 EXP 07/16/21,2,0.05,0.03,-10.03,
07/12/2021 as of 07/09/2021,Expired,PTON 07/09/2021 123.00 C,CALL PELOTON INTERACTIVE$123 EXP 07/09/21,3,,,,
7/9/21,Buy to Close,RBLX 07/09/2021 87.00 C,CALL ROBLOX CORP $87 EXP 07/09/21,1,0.06,0.65,-6.65,
7/9/21,Sell to Open,RBLX 07/16/2021 86.00 C,CALL ROBLOX CORP $86 EXP 07/16/21,1,2.9,0.65,289.35,
7/9/21,Sell to Open,ABT 07/16/2021 120.00 C,CALL ABBOTT LABORATORIES$120 EXP 07/16/21,1,0.7,0.65,69.35,
7/9/21,Buy to Close,ABT 07/09/2021 114.00 C,CALL ABBOTT LABORATORIES$114 EXP 07/09/21,1,5.49,0.65,-549.65,
7/9/21,Sell to Open,ABT 07/16/2021 120.00 C,CALL ABBOTT LABORATORIES$120 EXP 07/16/21,1,0.7,0.65,69.35,
7/9/21,Buy to Close,ABT 07/09/2021 114.00 C,CALL ABBOTT LABORATORIES$114 EXP 07/09/21,1,5.49,0.65,-549.65,
7/2/21,Sell to Open,RBLX 07/09/2021 87.00 C,CALL ROBLOX CORP $87 EXP 07/09/21,1,1.77,0.65,176.35,
7/2/21,Buy to Close,RBLX 07/02/2021 88.00 C,CALL ROBLOX CORP $88 EXP 07/02/21,1,0.01,,-1,
7/2/21,Buy to Close,PTON 07/02/2021 124.00 C,CALL PELOTON INTERACTIVE$124 EXP 07/02/21,1,0.02,,-2,
7/2/21,Sell to Open,PTON 07/09/2021 123.00 C,CALL PELOTON INTERACTIVE$123 EXP 07/09/21,1,2.19,0.65,218.35,
7/2/21,Buy to Close,PTON 07/02/2021 124.00 C,CALL PELOTON INTERACTIVE$124 EXP 07/02/21,1,0.04,,-4,
7/2/21,Sell to Open,PTON 07/09/2021 123.00 C,CALL PELOTON INTERACTIVE$123 EXP 07/09/21,1,2.2,0.65,219.35,
7/2/21,Buy to Close,PTON 07/02/2021 124.00 C,CALL PELOTON INTERACTIVE$124 EXP 07/02/21,1,0.02,,-2,
7/2/21,Sell to Open,PTON 07/09/2021 123.00 C,CALL PELOTON INTERACTIVE$123 EXP 07/09/21,1,2.19,0.65,218.35,
6/29/21,Margin Interest,,INTEREST 05/27THRU 06/28,,,,-70.47,
6/29/21,Journal,CFLT,CONFLUENT INC CLASS A,-1,,,,
6/29/21,Journal,CFLT,CONFLUENT INC CLASS A,1,,,,
6/25/21,Sell to Open,ABT 07/09/2021 114.00 C,CALL ABBOTT LABORATORIES$114 EXP 07/09/21,2,1.17,1.33,232.67,
6/25/21,Buy to Close,ABT 07/02/2021 110.00 C,CALL ABBOTT LABORATORIES$110 EXP 07/02/21,2,3.38,1.33,-677.33,
6/25/21,Sell to Open,RBLX 07/02/2021 88.00 C,CALL ROBLOX CORP $88 EXP 07/02/21,1,1.96,0.65,195.35,
6/25/21,Buy to Close,RBLX 06/25/2021 85.00 C,CALL ROBLOX CORP $85 EXP 06/25/21,1,1.36,0.65,-136.65,
6/24/21,Buy,CFLT,CONFLUENT INC CLASS A,1,45.48,,-45.48,
6/24/21,Buy to Close,PTON 06/25/2021 109.00 C,CALL PELOTON INTERACTIVE$109 EXP 06/25/21,1,14.31,0.65,-1431.65,
6/24/21,Sell to Open,PTON 07/02/2021 124.00 C,CALL PELOTON INTERACTIVE$124 EXP 07/02/21,1,3.63,0.65,362.35,
6/24/21,Buy to Close,PTON 06/25/2021 109.00 C,CALL PELOTON INTERACTIVE$109 EXP 06/25/21,1,14.29,0.65,-1429.65,
6/24/21,Sell to Open,PTON 07/02/2021 124.00 C,CALL PELOTON INTERACTIVE$124 EXP 07/02/21,1,3.61,0.65,360.35,
6/24/21,Sell to Open,PTON 07/02/2021 124.00 C,CALL PELOTON INTERACTIVE$124 EXP 07/02/21,1,3.67,0.65,366.35,
6/24/21,Buy to Close,PTON 06/25/2021 109.00 C,CALL PELOTON INTERACTIVE$109 EXP 06/25/21,1,14.35,0.65,-1435.65,
06/21/2021 as of 06/18/2021,Expired,ATEC 06/18/2021 15.00 C,CALL ALPHATEC HOLDINGS $15 EXP 06/18/21,1,,,,
06/21/2021 as of 06/18/2021,Expired,ETSY 06/18/2021 200.00 C,CALL ETSY INC $200 EXP 06/18/21,-1,,,,
06/21/2021 as of 06/18/2021,Expired,ETSY 06/18/2021 180.00 C,CALL ETSY INC $180 EXP 06/18/21,1,,,,
6/18/21,Sell to Open,ABT 07/02/2021 110.00 C,CALL ABBOTT LABORATORIES$110 EXP 07/02/21,1,2.13,0.65,212.35,
6/18/21,Buy to Close,ABT 06/25/2021 110.00 C,CALL ABBOTT LABORATORIES$110 EXP 06/25/21,1,1.66,0.65,-166.65,
6/18/21,Sell to Open,ABT 07/02/2021 110.00 C,CALL ABBOTT LABORATORIES$110 EXP 07/02/21,1,2.13,0.65,212.35,
6/18/21,Buy to Close,ABT 06/25/2021 110.00 C,CALL ABBOTT LABORATORIES$110 EXP 06/25/21,1,1.66,0.65,-166.65,
6/18/21,Sell to Open,PTON 06/25/2021 109.00 C,CALL PELOTON INTERACTIVE$109 EXP 06/25/21,3,2.99,1.99,895.01,
6/18/21,Buy to Close,PTON 06/18/2021 112.00 C,CALL PELOTON INTERACTIVE$112 EXP 06/18/21,3,0.03,0.04,-9.04,
6/18/21,Buy to Close,RBLX 06/18/2021 98.00 C,CALL ROBLOX CORP $98 EXP 06/18/21,1,0.01,,-1,
6/18/21,Sell to Open,RBLX 06/25/2021 85.00 C,CALL ROBLOX CORP $85 EXP 06/25/21,1,1.33,0.65,132.35,
6/11/21,Buy to Close,ABT 06/11/2021 109.00 C,CALL ABBOTT LABORATORIES$109 EXP 06/11/21,2,1.02,1.33,-205.33,
6/11/21,Sell to Open,ABT 06/25/2021 110.00 C,CALL ABBOTT LABORATORIES$110 EXP 06/25/21,2,1.47,1.33,292.67,
6/11/21,Sell to Open,ETSY 06/18/2021 180.00 C,CALL ETSY INC $180 EXP 06/18/21,1,0.44,0.65,43.35,
6/11/21,Buy to Close,ETSY 06/11/2021 180.00 C,CALL ETSY INC $180 EXP 06/11/21,1,0.01,,-1,
6/11/21,Buy to Close,RBLX 06/11/2021 110.00 C,CALL ROBLOX CORP $110 EXP 06/11/21,1,0.01,,-1,
6/11/21,Sell to Open,RBLX 06/18/2021 98.00 C,CALL ROBLOX CORP $98 EXP 06/18/21,1,1.84,0.65,183.35,
6/11/21,Sell to Open,PTON 06/18/2021 112.00 C,CALL PELOTON INTERACTIVE$112 EXP 06/18/21,3,3.23,1.99,967.01,
6/11/21,Buy to Close,PTON 06/11/2021 114.00 C,CALL PELOTON INTERACTIVE$114 EXP 06/11/21,3,0.12,1.99,-37.99,
06/11/2021 as of 06/10/2021,Sell,SDC,SMILEDIRECTCLUB INC CLASS A,1000,8.5,0.04,8499.96,
06/11/2021 as of 06/10/2021,Assigned,SDC 06/11/2021 8.50 C,CALL SMILEDIRECTCLUB INC$8.5 EXP 06/11/21,10,,,,
6/2/21,Sell to Open,SDC 06/11/2021 8.50 C,CALL SMILEDIRECTCLUB INC$8.5 EXP 06/11/21,10,0.23,6.63,223.37,
6/2/21,Sell to Open,RBLX 06/11/2021 110.00 C,CALL ROBLOX CORP $110 EXP 06/11/21,1,2.45,0.65,244.35,
6/2/21,Sell to Open,ABT 06/11/2021 109.00 C,CALL ABBOTT LABORATORIES$109 EXP 06/11/21,2,0.53,1.33,104.67,
6/2/21,Sell to Open,PTON 06/11/2021 114.00 C,CALL PELOTON INTERACTIVE$114 EXP 06/11/21,1,1.81,0.65,180.35,
6/2/21,Buy to Close,PTON 06/04/2021 110.00 C,CALL PELOTON INTERACTIVE$110 EXP 06/04/21,1,1.52,0.65,-152.65,
6/2/21,Sell to Open,PTON 06/11/2021 114.00 C,CALL PELOTON INTERACTIVE$114 EXP 06/11/21,1,1.81,0.65,180.35,
6/2/21,Buy to Close,PTON 06/04/2021 110.00 C,CALL PELOTON INTERACTIVE$110 EXP 06/04/21,1,1.52,0.65,-152.65,
6/2/21,Sell to Open,PTON 06/11/2021 114.00 C,CALL PELOTON INTERACTIVE$114 EXP 06/11/21,1,1.81,0.65,180.35,
6/2/21,Buy to Close,PTON 06/04/2021 110.00 C,CALL PELOTON INTERACTIVE$110 EXP 06/04/21,1,1.52,0.65,-152.65,
6/2/21,Sell to Open,ATEC 06/18/2021 15.00 C,CALL ALPHATEC HOLDINGS $15 EXP 06/18/21,1,0.15,0.65,14.35,
6/2/21,Sell to Open,ETSY 06/11/2021 180.00 C,CALL ETSY INC $180 EXP 06/11/21,1,3.46,0.65,345.35,
6/2/21,Buy to Close,ETSY 06/04/2021 175.00 C,CALL ETSY INC $175 EXP 06/04/21,1,3.1,0.65,-310.65,
06/01/2021 as of 05/28/2021,Expired,SDC 05/28/2021 8.50 C,CALL SMILEDIRECTCLUB INC$8.5 EXP 05/28/21,10,,,,
06/01/2021 as of 05/28/2021,Expired,ABT 05/28/2021 118.00 C,CALL ABBOTT LABORATORIES$118 EXP 05/28/21,2,,,,
5/28/21,Buy to Close,BCRX 06/18/2021 15.00 C,CALL BIOCRYST PHARMACEUT$15 EXP 06/18/21,15,1.48,9.94,-2229.94,
5/28/21,Sell to Open,BCRX 07/16/2021 18.00 C,CALL BIOCRYST PHARMACEUT$18 EXP 07/16/21,15,0.98,9.95,1460.05,
5/28/21,Buy to Close,BCRX 06/18/2021 15.00 C,CALL BIOCRYST PHARMACEUT$15 EXP 06/18/21,5,1.48,3.3,-743.3,
5/28/21,Sell to Open,BCRX 07/16/2021 18.00 C,CALL BIOCRYST PHARMACEUT$18 EXP 07/16/21,5,0.98,3.3,486.7,
5/28/21,Sell to Open,BCRX 07/16/2021 18.00 C,CALL BIOCRYST PHARMACEUT$18 EXP 07/16/21,5,0.94,3.3,466.7,
5/28/21,Buy to Close,BCRX 06/18/2021 15.00 C,CALL BIOCRYST PHARMACEUT$15 EXP 06/18/21,5,1.44,3.3,-723.3,
5/28/21,Buy to Close,PTON 05/28/2021 103.00 C,CALL PELOTON INTERACTIVE$103 EXP 05/28/21,3,8.25,1.99,-2476.99,
5/28/21,Sell to Open,PTON 06/04/2021 110.00 C,CALL PELOTON INTERACTIVE$110 EXP 06/04/21,3,3.35,2,1003,
5/28/21,Sell to Open,ETSY 06/04/2021 175.00 C,CALL ETSY INC $175 EXP 06/04/21,1,1.03,0.65,102.35,
5/28/21,Buy to Close,ETSY 05/28/2021 175.00 C,CALL ETSY INC $175 EXP 05/28/21,1,0.07,0.65,-7.65,
5/27/21,Margin Interest,,INTEREST 04/29THRU 05/26,,,,-3.25,
5/27/21,Buy to Open,RBLX 01/20/2023 100.00 C,CALL ROBLOX CORP $100 EXP 01/20/23,4,31.1,2.65,-12442.65,
5/27/21,Sell to Close,PINS 08/20/2021 85.00 C,CALL PINTEREST INC $85 EXP 08/20/21,1,1.35,0.65,134.35,
5/27/21,Buy to Close,PINS 05/28/2021 61.50 C,CALL PINTEREST INC $61.5 EXP 05/28/21,1,2.89,0.65,-289.65,
5/27/21,Buy to Close,RBLX 05/28/2021 83.00 C,CALL ROBLOX CORP $83 EXP 05/28/21,1,13.8,0.65,-1380.65,
5/27/21,Sell to Close,SQ 06/18/2021 240.00 C,CALL SQUARE INC $240 EXP 06/18/21,1,3.6,0.65,359.35,
05/24/2021 as of 05/21/2021,Expired,ATEC 05/21/2021 20.00 C,CALL ALPHATEC HOLDINGS $20 EXP 05/21/21,1,,,,
5/21/21,Sell to Open,PINS 05/28/2021 61.50 C,CALL PINTEREST INC $61.5 EXP 05/28/21,1,1.29,0.65,128.35,
5/21/21,Buy to Close,PINS 05/21/2021 60.00 C,CALL PINTEREST INC $60 EXP 05/21/21,1,1.03,0.65,-103.65,
5/21/21,Buy to Close,PTON 05/21/2021 100.00 C,CALL PELOTON INTERACTIVE$100 EXP 05/21/21,2,1.77,1.33,-355.33,
5/21/21,Sell to Open,PTON 05/28/2021 103.00 C,CALL PELOTON INTERACTIVE$103 EXP 05/28/21,2,2.36,1.33,470.67,
5/21/21,Buy to Close,PTON 05/21/2021 100.00 C,CALL PELOTON INTERACTIVE$100 EXP 05/21/21,1,1.77,0.65,-177.65,
5/21/21,Sell to Open,PTON 05/28/2021 103.00 C,CALL PELOTON INTERACTIVE$103 EXP 05/28/21,1,2.36,0.65,235.35,
5/21/21,Sell to Open,ETSY 05/28/2021 175.00 C,CALL ETSY INC $175 EXP 05/28/21,1,1.94,0.65,193.35,
5/21/21,Buy to Close,ETSY 05/21/2021 167.50 C,CALL ETSY INC $167.5 EXP 05/21/21,1,1.4,0.65,-140.65,
5/21/21,Buy to Close,ABT 05/21/2021 120.00 C,CALL ABBOTT LABORATORIES$120 EXP 05/21/21,1,0.07,0.65,-7.65,
5/21/21,Sell to Open,ABT 05/28/2021 118.00 C,CALL ABBOTT LABORATORIES$118 EXP 05/28/21,1,1.17,0.65,116.35,
5/21/21,Buy to Close,ABT 05/21/2021 120.00 C,CALL ABBOTT LABORATORIES$120 EXP 05/21/21,1,0.07,0.65,-7.65,
5/21/21,Sell to Open,ABT 05/28/2021 118.00 C,CALL ABBOTT LABORATORIES$118 EXP 05/28/21,1,1.17,0.65,116.35,
5/21/21,Sell to Open,SDC 05/28/2021 8.50 C,CALL SMILEDIRECTCLUB INC$8.5 EXP 05/28/21,10,0.12,6.63,113.37,
5/21/21,Buy to Close,SDC 05/21/2021 8.00 C,CALL SMILEDIRECTCLUB INC$8 EXP 05/21/21,10,0.25,6.63,-256.63,
5/21/21,Buy to Close,RBLX 05/21/2021 73.50 C,CALL ROBLOX CORP $73.5 EXP 05/21/21,1,9.83,0.65,-983.65,
5/21/21,Sell to Open,RBLX 05/28/2021 83.00 C,CALL ROBLOX CORP $83 EXP 05/28/21,1,3.65,0.65,364.35,
5/21/21,Sell to Open,BCRX 06/18/2021 15.00 C,CALL BIOCRYST PHARMACEUT$15 EXP 06/18/21,25,0.83,16.59,2058.41,
5/21/21,Buy to Close,BCRX 05/21/2021 15.00 C,CALL BIOCRYST PHARMACEUT$15 EXP 05/21/21,25,0.03,0.33,-75.33,
5/17/21,Qualified Dividend,ABT,ABBOTT LABORATORIES,,,,90,
05/17/2021 as of 05/15/2021,Bank Interest,,BANK INT …1621-051521 SCHWAB BANK,,,,0.34,
5/14/21,Sell to Open,SDC 05/21/2021 8.00 C,CALL SMILEDIRECTCLUB INC$8 EXP 05/21/21,1,0.15,0.65,14.35,
5/14/21,Buy to Close,SDC 05/14/2021 9.00 C,CALL SMILEDIRECTCLUB INC$9 EXP 05/14/21,1,0.01,,-1,
5/14/21,Sell to Open,SDC 05/21/2021 8.00 C,CALL SMILEDIRECTCLUB INC$8 EXP 05/21/21,1,0.15,0.65,14.35,
5/14/21,Buy to Close,SDC 05/14/2021 9.00 C,CALL SMILEDIRECTCLUB INC$9 EXP 05/14/21,1,0.01,,-1,
5/14/21,Sell to Open,SDC 05/21/2021 8.00 C,CALL SMILEDIRECTCLUB INC$8 EXP 05/21/21,1,0.15,0.65,14.35,
5/14/21,Buy to Close,SDC 05/14/2021 9.00 C,CALL SMILEDIRECTCLUB INC$9 EXP 05/14/21,1,0.01,,-1,
5/14/21,Sell to Open,SDC 05/21/2021 8.00 C,CALL SMILEDIRECTCLUB INC$8 EXP 05/21/21,2,0.15,1.33,28.67,
5/14/21,Buy to Close,SDC 05/14/2021 9.00 C,CALL SMILEDIRECTCLUB INC$9 EXP 05/14/21,2,0.01,0.03,-2.03,
5/14/21,Sell to Open,SDC 05/21/2021 8.00 C,CALL SMILEDIRECTCLUB INC$8 EXP 05/21/21,4,0.15,2.65,57.35,
5/14/21,Buy to Close,SDC 05/14/2021 9.00 C,CALL SMILEDIRECTCLUB INC$9 EXP 05/14/21,4,0.01,0.05,-4.05,
5/14/21,Sell to Open,SDC 05/21/2021 8.00 C,CALL SMILEDIRECTCLUB INC$8 EXP 05/21/21,1,0.15,0.65,14.35,
5/14/21,Buy to Close,SDC 05/14/2021 9.00 C,CALL SMILEDIRECTCLUB INC$9 EXP 05/14/21,1,0.01,,-1,
5/14/21,Buy to Close,ABT 05/14/2021 120.00 C,CALL ABBOTT LABORATORIES$120 EXP 05/14/21,2,0.04,0.03,-8.03,
5/14/21,Sell to Open,ABT 05/21/2021 120.00 C,CALL ABBOTT LABORATORIES$120 EXP 05/21/21,2,0.69,1.33,136.67,
5/14/21,Sell to Open,RBLX 05/21/2021 73.50 C,CALL ROBLOX CORP $73.5 EXP 05/21/21,1,1.97,0.65,196.35,
